Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
770074/769862    0.054    0.000    0.054    0.000 {built-in method builtins.len}
   761730    2.180    0.000    2.180    0.000 {built-in method torch.as_tensor}
   750030    0.072    0.000    0.100    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:117(__iter__)
   750000    0.509    0.000    0.509    0.000 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/train_model.py:35(__getitem__)
   750000    0.156    0.000    0.205    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:138(<genexpr>)
191931/191920    0.048    0.000    0.103    0.000 {built-in method builtins.isinstance}
   152645    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
   105583    0.105    0.000    0.105    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/module.py:1256(__getattr__)
    93860    0.015    0.000    0.015    0.000 {built-in method builtins.id}
    93860    0.027    0.000    0.042    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_tensor.py:928(__hash__)
    70440    0.058    0.000    0.432    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_ops.py:437(__call__)
    70380    0.059    0.000    0.059    0.000 {built-in method torch._C._get_tracing_state}
70380/23460    0.158    0.000    8.508    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/module.py:1188(_call_impl)
    46920    0.663    0.000    0.663    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
46920/11730    0.188    0.000    4.277    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:88(collate)
    46916    0.021    0.000    0.021    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
    46916    0.371    0.000    0.371    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
    35384    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
